timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
283457642,0.37990436,0.100434884,0.19383587
283479640,0.38885203,0.097509295,0.17192928
283502703,0.39481717,0.100434884,0.16879977
283525637,0.3977997,0.097509295,0.15941124
283547691,0.40078226,0.100434884,0.15002269
283568644,0.4037648,0.100434884,0.13437513
283590682,0.40972993,0.100434884,0.1281161
283611675,0.40972993,0.100434884,0.1281161
283632700,0.41271248,0.100434884,0.115598045
283653642,0.41271248,0.097509295,0.11872756
283674680,0.41569507,0.0945837,0.11246853
283696704,0.4186776,0.09165809,0.10933902
283718055,0.42166016,0.088732496,0.11246853
283738668,0.4186776,0.0858069,0.1062095
283759652,0.42464274,0.07995571,0.10933902
283781982,0.42464274,0.07117891,0.10307999
283802665,0.42166016,0.06825332,0.10307999
283823648,0.42464274,0.06240212,0.11246853
283845921,0.42762527,0.05655093,0.10307999
283866664,0.42464274,0.05069974,0.10933902
283887639,0.42464274,0.044848546,0.1062095
283909272,0.42762527,0.038997352,0.11246853
283930667,0.42464274,0.03022056,0.1062095
283951641,0.43060783,0.024369365,0.115598045
283973692,0.42762527,0.015592574,0.12185707
283997647,0.42464274,0.0068157837,0.11246853
284020639,0.42762527,-0.0019610072,0.12498658
284042676,0.43060783,-0.010737799,0.13437513
284064647,0.42762527,-0.016588992,0.13124561
284087680,0.42762527,-0.025365783,0.13124561
284109645,0.42762527,-0.034142572,0.13124561
284130678,0.43060783,-0.039993767,0.13124561
284152639,0.42464274,-0.048770558,0.13124561
284174763,0.42464274,-0.05754735,0.13124561
284197645,0.42166016,-0.066324145,0.13437513
284218669,0.42166016,-0.07510093,0.13750465
284238669,0.4186776,-0.08095213,0.13437513
284259768,0.4186776,-0.08680332,0.13750465
284282963,0.4186776,-0.095580116,0.15002269
284306184,0.41569507,-0.1014313,0.15315221
284328487,0.41569507,-0.1072825,0.15315221
284351638,0.41271248,-0.11313369,0.15941124
284373638,0.41569507,-0.118984886,0.15628171
284396695,0.41271248,-0.12483609,0.15002269
284418926,0.40972993,-0.12776168,0.15002269
284442134,0.41271248,-0.13068728,0.15315221
284463691,0.40972993,-0.13653846,0.15315221
